PRODUTO;UNIDADE;ANO;REGIAO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL	
ANIDRO;bep;2012;REGIAO NORTE;RONDONIA;0;0;0;0;0;0;0;0;0;0;0;0;0
ANIDRO;bep;2012;REGIAO NORTE;ACRE;0;0;0;0;0;0;0;0;0;0;0;0;0
ANIDRO;bep;2012;REGIAO NORTE;AMAZONAS;0;0;0;0;0;0;0;0;0;0;0;0;0
ANIDRO;bep;2012;REGIAO NORTE;RORAIMA;0;0;0;0;0;0;0;0;0;0;0;0;0
ANIDRO;bep;2012;REGIAO NORTE;PARA;5299,88862;0;0;0;0;0;5034,7828;10837,719508;18254,475412;20519,912576;20205,211764;10122,333258;90274,323938
ANIDRO;bep;2012;REGIAO NORTE;AMAPA;0;0;0;0;0;0;0;0;0;0;0;0;0
ANIDRO;bep;2012;REGIAO NORTE;TOCANTINS;0;0;0;38410;45646,870351;59856,884152;77726,345406;71298,33204;77121,372542;72397,829813;30388,125274;609,79716;473455,556738
ANIDRO;bep;2012;REGIAO NORDESTE;MARANHÃO;0;0;0;9825,281841;41864,5954;66444,252926;105227,721038;130059,674649;111538,580063;55409,582302;5186,951697;153,186762;525709,826678
ANIDRO;bep;2012;REGIAO NORDESTE;PIAUI;0;0;0;0;0;7,831799;31,542292;58,325585;13954,030356;11004,975853;11,004465;0;25067,71035
ANIDRO;bep;2012;REGIAO NORDESTE;CEARÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
ANIDRO;bep;2012;REGIAO NORDESTE;RIO GRANDE DO NORTE;40901,218826;32129,872816;612,120965;4,981777;0;0;0;0;24168,244175;37934,219171;34358,655317;31512,324518;201621,637565
ANIDRO;bep;2012;REGIAO NORDESTE;PARAIBA;85600,940828;36999,557913;20962,222931;41,694055;1,45958;8,968735;6,353014;11556,312993;78829,2271;106695,705146;106679,288712;114848,942072;562230,673079
ANIDRO;bep;2012;REGIAO NORDESTE;PERNAMBUCO;100662,362212;74522,014202;49306,002842;4966,889284;0;0;0;2398,28199;46429,935021;120131,300368;136062,016872;150567,107816;685045,910607
ANIDRO;bep;2012;REGIAO NORDESTE;ALAGOAS;248709,455225;241171,876825;138342,79499;2092,830306;0;0;0;0;29259,627951;167774,607289;229110,994708;283555,98668;1340018,173974
ANIDRO;bep;2012;REGIAO NORDESTE;SERGIPE;17145,517256;29066,149099;23691,349456;0;0;0;0;0;0;3733,486569;26986,677791;38813,197452;139436,377623
ANIDRO;bep;2012;REGIAO NORDESTE;BAHIA;3134,709238;5722,3218;3127,203924;112,414547;22070,516594;55269,670036;57870,468751;62627,470431;58078,45506;27747,814192;7195,898404;0;302956,942977
ANIDRO;bep;2012;REGIAO SUDESTE;MINAS GERAIS;12901,746155;18120,962252;14024,750848;17563,602424;237709,603266;409288,924628;545336,952578;621609,744513;529232,933995;522060,454168;258495,224699;131819,501778;3318164,401304
ANIDRO;bep;2012;REGIAO SUDESTE;ESPÍRITO SANTO;29268,861715;12324,981595;0;2223,01716;26964,941572;57731,447597;74844,212646;58318,102732;68659,611132;52643,893298;26421,413185;23037,369273;432437,851905
ANIDRO;bep;2012;REGIAO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;0;0;0;0;0;0;0
ANIDRO;bep;2012;REGIAO SUDESTE;SÃO PAULO;83,706913;133,401771;3,280214;123146,139678;1495436,507041;1737092,495824;3376758,779484;3906893,280681;3496829,161592;3651340,388735;2616962,557158;1039120,886586;21443800,585677
ANIDRO;bep;2012;REGIAO SUL;PARANÁ;0;0;0;88572,661072;120772,897167;147452,836539;253386,77536;314881,757669;230571,054833;168805,38189;151890,620391;50770,403297;1527104,388218
ANIDRO;bep;2012;REGIAO SUL;SANTA CATARINA;0;0;0;0;0;0;0;0;0;0;0;0;0
ANIDRO;bep;2012;REGIAO SUL;RIO GRANDE DO SUL;0;0;0;0;0;0;0;0;0;0;0;0;0
ANIDRO;bep;2012;REGIAO CENTRO OESTE;MATO GROSSO DO SUL;0;0;35935,101583;0;95203,164276;234286,603932;344394,695729;350269,54748;285559,294799;248546,950197;204294,067089;141260,199653;1939749,624738
ANIDRO;bep;2012;REGIAO CENTRO OESTE;MATO GROSSO;0;0;0;13739,399117;87696,164077;242034,250463;314438,836595;386597,675547;302497,893544;240942,868723;85399,522629;47839,543611;1721186,154306
ANIDRO;bep;2012;REGIAO CENTRO OESTE;GOIAS;3068,793837;2881,641112;31953,455686;58019,952789;256161,786471;437411,843198;544121,160848;547589,20743;560483,505886;494013,74872;307899,587869;102598,053367;3346202,737213
ANIDRO;bep;2012;REGIAO CENTRO OESTE;BRASILIA;0;0;0;0;0;0;0;0;0;0;0;0;0
ANIDRO;bep;2013;REGIAO NORTE;RONDONIA;0;0;0;0;0;0;0;0;0;0;0;0;0
ANIDRO;bep;2013;REGIAO NORTE;ACRE;0;0;0;0;0;0;0;0;0;0;0;0;0
ANIDRO;bep;2013;REGIAO NORTE;AMAZONAS;0;0;0;0;0;0;0;0;0;0;0;0;0
ANIDRO;bep;2013;REGIAO NORTE;RORAIMA;0;0;0;0;0;0;0;0;0;0;0;0;0
ANIDRO;bep;2013;REGIAO NORTE;PARA;0;0;0;0;0;5459,182572;13087,032154;13741,553918;20419,620225;19538,794423;16981,510397;18670,21757;107897,911259
