PRODUTO;UNIDADE;ANO;REGIAO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
ANIDRO;bep;2019;REGIAO NORTE;ACRE;0;0;0;0;0;0;0;1062,45901;27926,62427;81887,68481;93669,04199;;204545,8101
ANIDRO;bep;2019;REGIAO NORDESTE;ALAGOAS;120085,2621;84089,72627;49978,23546;12581,55271;0;0;0;773,30853;41845,89357;138496,6117;161575,4983;;609426,0887
ANIDRO;bep;2019;REGIAO NORTE;AMAPA;0;0;0;0;0;0;0;0;0;0;0;;0
ANIDRO;bep;2019;REGIAO NORTE;AMAZONAS;0;0;0;0;0;0;0;1;2;3;4;;10
ANIDRO;bep;2019;REGIAO NORDESTE;BAHIA;0;0;0;368,736;18190,30767;51356,14043;50387,91652;54108,79308;58054,64086;56628,78868;31164,11098;;320259,4342
ANIDRO;bep;2019;REGIAO CENTRO OESTE;BRASILIA;0;0;0;0;0;0;0;0;0;0;0;;0
ANIDRO;bep;2019;REGIAO NORDESTE;CEARA;0;0;0;0;0;0;0;0;0;0;0;;0
ANIDRO;bep;2019;REGIAO SUDESTE;ESPIRITO SANTO;30582,31471;3017,75847;0;2535,528602;35660,68902;68822,36583;73123,57524;55493,25081;52869,38304;37060,61445;22523,22454;;381688,7047
ANIDRO;bep;2019;REGIAO CENTRO OESTE;GOIAS;25842,07516;22463,23964;16364,5613;102594,0818;345604,2305;433752,0616;417596,4584;455461,167;357449,137;505707,7885;288064,3335;;2970899,134
ANIDRO;bep;2019;REGIAO NORDESTE;MARANHAO;0;0;0;0;31555,98517;65144,71971;91456,58758;105894,4802;88498,13799;77302,91741;59832,7742;;519685,6023
ANIDRO;bep;2019;REGIAO CENTRO OESTE;MATO GROSSO;127314,1893;44469,72292;76254,13236;95795,50025;282849,7958;447112,8572;399259,8739;262639,5024;275007,169;304767,6173;174268,344;;2489738,704
ANIDRO;bep;2019;REGIAO CENTRO OESTE;MATO GROSSO DO SUL;88909,58591;20090,30825;60289,05811;173581,8536;357295,8235;335259,2037;325421,865;382030,9109;339697,4139;315215,8709;149274,6728;;2547066,567
ANIDRO;bep;2019;REGIAO SUDESTE;MINAS GERAIS;0;0;10587,21333;156788,8748;461732,2524;692209,9095;730604,2382;678708,0186;540005,8942;397821,6422;172517,4971;;3840975,541
ANIDRO;bep;2019;REGIAO NORTE;PARA;4749,496366;0;0;0;0;16730,82369;26319,71503;29012,9743;24879,41685;20035,00937;27450,70516;;149178,1408
ANIDRO;bep;2019;REGIAO NORDESTE;PARAIBA;50388,15082;32029,35001;34606,15783;0;0;0;9595,232828;68029,18012;86237,93611;130601,9586;144512,0863;;556000,0525
ANIDRO;bep;2019;REGIAO SUL;PARANA;0;7797,299138;48645,76951;121758,5669;254898,6698;293210,4631;391136,1781;378154,1435;309246,3154;300487,9405;79135,01295;;2184470,359
ANIDRO;bep;2019;REGIAO NORDESTE;PERNAMBUCO;39765,59261;25811,98476;0;42,880924;0;0;0;1062,45901;27926,62427;81887,68481;93669,04199;;270166,2684
ANIDRO;bep;2019;REGIAO NORDESTE;PIAUI;0;0;0;0;0;0;12920,55169;3099,675477;6901,808398;22134,20422;16846,09978;;61902,33956
ANIDRO;bep;2019;REGIAO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;0;0;0;0;0;;0
ANIDRO;bep;2019;REGIAO NORDESTE;RIO GRANDE DO NORTE;6099,719255;1075,280268;0;0;0;0;0;0;3194,544336;12887,70346;24353,84898;;47611,0963
ANIDRO;bep;2019;REGIAO SUL;RIO GRANDE DO SUL;0;0;0;0;0;0;0;0;0;0;0;;0
ANIDRO;bep;2019;REGIAO NORTE;RONDONIA;0;0;0;0;0;0;0;1;2;3;4;;10
ANIDRO;bep;2019;REGIAO NORTE;RORAIMA;0;0;0;0;0;0;0;0;0;0;0;;0
ANIDRO;bep;2019;REGIAO SUL;SANTA CATARINA;0;0;0;0;0;0;0;0;0;0;0;;0
ANIDRO;bep;2019;REGIAO SUDESTE;SAO PAULO;10335,81604;9630,758237;113785,6572;958500,0135;2958381,903;3386165,177;3412122,34;3475281,831;2885361,197;2955570,329;1465341,239;;21630476,26
ANIDRO;bep;2019;REGIAO NORDESTE;SERGIPE;13225,17756;8919,397355;0;0;0;0;0;0;0;12175,42842;21185,89204;;55505,89538
ANIDRO;bep;2019;REGIAO NORTE;TOCANTINS;0;0;0;0;46037,20814;30448,71321;24793,33236;75100,35741;41067,45347;56646,26907;39087,84048;;313181,1741
