"data_mes","preco_gasolina","preco_etanol","preco_diesel","dolar_fechamento","preco_petroleo_usd","preco_petroleo_brl","paridade_etanol_gasolina","impacto_dolar","producao_mensal"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","3068.793837"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","83.706913"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","29268.861715"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","12901.746155"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","3134.709238"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","17145.517256"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","248709.455225"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","100662.362212"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","85600.940828"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","40901.218826"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","5299.88862"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.137","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.122","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.122","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","3068.793837"
"2012-01","2.842","2.076","2.122","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.122","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.122","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.122","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.122","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.122","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","83.706913"
"2012-01","2.842","2.076","2.122","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.122","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","29268.861715"
"2012-01","2.842","2.076","2.122","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","12901.746155"
"2012-01","2.842","2.076","2.122","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","3134.709238"
"2012-01","2.842","2.076","2.122","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","17145.517256"
"2012-01","2.842","2.076","2.122","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","248709.455225"
"2012-01","2.842","2.076","2.122","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","100662.362212"
"2012-01","2.842","2.076","2.122","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","85600.940828"
"2012-01","2.842","2.076","2.122","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","40901.218826"
"2012-01","2.842","2.076","2.122","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.122","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.122","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
"2012-01","2.842","2.076","2.122","1.7321","110.98","192.22845800000002","1.043530712777722","-6.23","0.0"
